symbol,visual_qa_status,note
gText_DefaultNameAllie,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameAubree,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameBella,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameBrett,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameCamila,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameCasey,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameCollin,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameDarren,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameEaston,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameHalie,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameHazel,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameJaxson,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameJayla,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameJohnny,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameJude,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameKenny,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameKimmy,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameLandon,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameLianna,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
gText_DefaultNameLillie,proof_passed,"Batch 47 QA Gallery reviewed: 20/20 pages passed. The first set of preset player names was verified for consistent Thai transliteration, correct font rendering, spacing, clipping, layout, and readability."
