symbol,reference
gText_DefaultNameLucy,"src/main_menu.c:502:    gText_DefaultNameLucy,"
gText_DefaultNameMilton,"src/main_menu.c:462:    gText_DefaultNameMilton,"
gText_DefaultNameMonica,"src/main_menu.c:491:    gText_DefaultNameMonica,"
gText_DefaultNameNadine,"src/main_menu.c:496:    gText_DefaultNameNadine,"
gText_DefaultNameNicola,"src/main_menu.c:499:    gText_DefaultNameNicola,"
gText_DefaultNameQuincy,src/main_menu.c:480:    gText_DefaultNameQuincy
gText_DefaultNameReid,"src/main_menu.c:465:    gText_DefaultNameReid,"
gText_DefaultNameRuthie,"src/main_menu.c:494:    gText_DefaultNameRuthie,"
gText_DefaultNameSara,"src/main_menu.c:490:    gText_DefaultNameSara,"
gText_DefaultNameSeth,"src/main_menu.c:473:    gText_DefaultNameSeth,"
gText_DefaultNameStanley,"src/main_menu.c:479:    gText_DefaultNameStanley,"
gText_DefaultNameStu,"src/main_menu.c:461:    gText_DefaultNameStu,"
gText_DefaultNameTanja,"src/main_menu.c:497:    gText_DefaultNameTanja,"
gText_DefaultNameTerra,"src/main_menu.c:501:    gText_DefaultNameTerra,"
gText_DefaultNameTerry,"src/main_menu.c:474:    gText_DefaultNameTerry,"
gText_DefaultNameTeru,"src/main_menu.c:470:    gText_DefaultNameTeru,"
gText_DefaultNameTiara,"src/main_menu.c:485:    gText_DefaultNameTiara,"
gText_DefaultNameTom,"src/main_menu.c:463:    gText_DefaultNameTom,"
gText_DefaultNameWalker,"src/main_menu.c:469:    gText_DefaultNameWalker,"
gText_DefaultNameYasmin,"src/main_menu.c:498:    gText_DefaultNameYasmin,"
